,Line
1197," I saw the skins of tigers flaming in his palace  on the Grand Canal; I saw him opening a chest of rubies to ease, with  their crimson-lighted depths, the gnawings of his broken heart"
1198,"    “I’m going to make a big request of you today,” he said, pocketing his  souvenirs with satisfaction, “so I thought you ought to know something  about me"
1199, I didn’t want you to think I was just some nobody
1200," You see,  I usually find myself among strangers because I drift here and there  trying to forget the sad things that happened to me"
1201,” He hesitated
1202,  “You’ll hear about it this afternoon
1203,”    “At lunch
1204,"”    “No, this afternoon"
1205, I happened to find out that you’re taking Miss  Baker to tea
1206,”    “Do you mean you’re in love with Miss Baker
1207,"”    “No, old sport, I’m not"
1208, But Miss Baker has kindly consented to speak  to you about this matter
1209,"”    I hadn’t the faintest idea what “this matter” was, but I was more  annoyed than interested"
1210, I hadn’t asked Jordan to tea in order to  discuss Mr
1211, Jay Gatsby
1212," I was sure the request would be something  utterly fantastic, and for a moment I was sorry I’d ever set foot upon  his overpopulated lawn"
1213,    He wouldn’t say another word
1214, His correctness grew on him as we neared  the city
1215," We passed Port Roosevelt, where there was a glimpse of  red-belted oceangoing ships, and sped along a cobbled slum lined with  the dark, undeserted saloons of the faded-gilt nineteen-hundreds"
1216,"  Then the valley of ashes opened out on both sides of us, and I had a  glimpse of Mrs"
1217, Wilson straining at the garage pump with panting  vitality as we went by
1218,"    With fenders spread like wings we scattered light through half  Astoria—only half, for as we twisted among the pillars of the elevated  I heard the familiar “jug-jug-spat"
1219,"” of a motorcycle, and a frantic  policeman rode alongside"
1220,"    “All right, old sport,” called Gatsby"
1221, We slowed down
1222," Taking a white  card from his wallet, he waved it before the man’s eyes"
1223,"    “Right you are,” agreed the policeman, tipping his cap"
1224," “Know you next  time, Mr"
1225, Gatsby
1226, Excuse me
1227,”    “What was that
1228,” I inquired
1229, “The picture of Oxford
1230,"”    “I was able to do the commissioner a favour once, and he sends me a  Christmas card every year"
1231,"”    Over the great bridge, with the sunlight through the girders making a  constant flicker upon the moving cars, with the city rising up across  the river in white heaps and sugar lumps all built with a wish out of  nonolfactory money"
1232," The city seen from the Queensboro Bridge is always  the city seen for the first time, in its first wild promise of all the  mystery and the beauty in the world"
1233,"    A dead man passed us in a hearse heaped with blooms, followed by two  carriages with drawn blinds, and by more cheerful carriages for  friends"
1234," The friends looked out at us with the tragic eyes and short  upper lips of southeastern Europe, and I was glad that the sight of  Gatsby’s splendid car was included in their sombre holiday"
1235," As we  crossed Blackwell’s Island a limousine passed us, driven by a white  chauffeur, in which sat three modish negroes, two bucks and a girl"
1236, I  laughed aloud as the yolks of their eyeballs rolled toward us in  haughty rivalry
1237,"    “Anything can happen now that we’ve slid over this bridge,” I thought;  “anything at all …”    Even Gatsby could happen, without any particular wonder"
1238,    ------------------------------------------------------------------------    Roaring noon
1239, In a well-fanned Forty-second Street cellar I met Gatsby  for lunch
1240," Blinking away the brightness of the street outside, my eyes  picked him out obscurely in the anteroom, talking to another man"
1241,    “Mr
1242," Carraway, this is my friend Mr"
1243, Wolfshiem
1244,"”    A small, flat-nosed Jew raised his large head and regarded me with two  fine growths of hair which luxuriated in either nostril"
1245, After a  moment I discovered his tiny eyes in the half-darkness
1246,"    “—So I took one look at him,” said Mr"
1247," Wolfshiem, shaking my hand  earnestly, “and what do you think I did"
1248,”    “What
1249,” I inquired politely
1250,"    But evidently he was not addressing me, for he dropped my hand and  covered Gatsby with his expressive nose"
1251,"    “I handed the money to Katspaugh and I said: ‘All right, Katspaugh,  don’t pay him a penny till he shuts his mouth"
1252,’ He shut it then and  there
1253,"”    Gatsby took an arm of each of us and moved forward into the  restaurant, whereupon Mr"
1254, Wolfshiem swallowed a new sentence he was  starting and lapsed into a somnambulatory abstraction
